Name,Address,Location,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,FacilitiesAndServices
Ta Vie,"2F, The Pottinger Hotel, 21 Stanley Street, Hong Kong",Hong Kong,$$$$,Innovative,114.15529,22.282766,+85226686488,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/ta-vie,https://www.tavie.com.hk,3 MICHELIN Stars,"Air conditioning,American Express credit card,China UnionPay,Credit card / Debit card accepted,JCB,Maestro,Mastercard credit card,Visa credit card,Wheelchair access"
Caprice,"6F, Four Seasons Hotel, 8 Finance Street, Hong Kong",Hong Kong,$$$$,French Contemporary,114.1590497,22.2857149,+85231968860,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/caprice,https://www.fourseasons.com/hongkong,3 MICHELIN Stars,"Air conditioning,American Express credit card,Car park,China UnionPay,Credit card / Debit card accepted,Diners Club credit card,Great view,JCB,Mastercard credit card,Particularly interesting wine list,Valet parking,Visa credit card,Wheelchair access"
Sushi Shikon,"7F, The Landmark Mandarin Oriental Hotel, 15 Queen's Road Central, Hong Kong",Hong Kong,$$$$,Sushi,114.1574159,22.2808567,+85226436800,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/sushi-shikon,https://sushi-shikon.com,3 MICHELIN Stars,"Air conditioning,American Express credit card,China UnionPay,Counter dining,Credit card / Debit card accepted,Mastercard credit card,Notable sake list,Valet parking,Visa credit card,Wheelchair access"
T'ang Court,"1-2F, The Langham Hotel, 8 Peking Road, Hong Kong",Hong Kong,$$$,Cantonese,114.1698,22.296572,+85221327898,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/t-ang-court,https://www.langhamhotels.com/en/the-langham/hong-kong/,3 MICHELIN Stars,"Air conditioning,American Express credit card,Car park,China UnionPay,Credit card / Debit card accepted,JCB,Mastercard credit card,Restaurant offering vegetarian menus,Valet parking,Visa credit card,Wheelchair access"
Robuchon au Dôme,"43F, Grand Lisboa Hotel, Avenida de Lisboa, Macau",Macau,$$$$,French Contemporary,113.54395,22.189949,+85388037878,https://guide.michelin.com/en/macau-region/macau/restaurant/robuchon-au-dome,https://www.grandlisboahotels.com,3 MICHELIN Stars,"Air conditioning,American Express credit card,Car park,China UnionPay,Credit card / Debit card accepted,Great view,JCB,Mastercard credit card,Particularly interesting wine list,Valet parking,Visa credit card,Wheelchair access"
8 1/2 Otto e Mezzo - Bombana,"Shop 202, 2F, Alexandra House, 18 Chater Road, Hong Kong",Hong Kong,$$$$,Italian,114.15867,22.2814635,+85225378859,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/8%C2%BD-otto-e-mezzo-bombana,https://www.laisundining.com,3 MICHELIN Stars,"Air conditioning,American Express credit card,Car park,China UnionPay,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Valet parking,Visa credit card,Wheelchair access"
The Eight,"2F, Grand Lisboa Hotel, Avenida de Lisboa, Macau",Macau,$$$$,Cantonese,113.54341,22.190475,+85388037788,https://guide.michelin.com/en/macau-region/macau/restaurant/the-eight,https://www.grandlisboahotels.com,3 MICHELIN Stars,"Air conditioning,American Express credit card,Car park,China UnionPay,Credit card / Debit card accepted,JCB,Maestro,Mastercard credit card,Particularly interesting wine list,Valet parking,Visa credit card"
L'Atelier de Joël Robuchon,"Shop 401, 4F, Landmark Atrium, 15 Queen's Road Central, Hong Kong",Hong Kong,$$$$,French Contemporary,114.15816,22.281199,+85221669000,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/l-atelier-de-joel-robuchon,https://www.robuchon.hk,3 MICHELIN Stars,"Air conditioning,American Express credit card,China UnionPay,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Terrace,Valet parking,Visa credit card,Wheelchair access"
Jade Dragon,"2F, The Shops at the Boulevard, City of Dreams, Estrada do Istmo, Macau",Macau,$$$,Cantonese,113.56715,22.149137,+85388682822,https://guide.michelin.com/en/macau-region/macau/restaurant/jade-dragon,https://www.cityofdreamsmacau.com,3 MICHELIN Stars,"Air conditioning,American Express credit card,Car park,China UnionPay,Credit card / Debit card accepted,JCB,Mastercard credit card,Particularly interesting wine list,Valet parking,Visa credit card,Wheelchair access"
Forum,"1F, Sino Plaza, 255-257 Gloucester Road, Hong Kong",Hong Kong,$$$$,Cantonese,114.1821991,22.2814401,+85228698282,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/forum,http://www.forumrestaurant1977.com,3 MICHELIN Stars,"Air conditioning,American Express credit card,Car park,China UnionPay,Credit card / Debit card accepted,JCB,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Visa credit card"
